Country,ITL,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,Essex,female,2023-11-01,8613,9938,10150,10516,10794,11325,11452,11784,11767,11886,11941,12247,12067,12207,11978,11914,11553,11205,10179,9558,9164,9164,10210,10617,10957,11270,11519,11825,12132,12803,13303,13635,14164,14451,14465,14903,14408,14164,14389,13794,13767,13468,13886,13708,13352,12391,11809,12201,12370,12534,12589,13064,13408,13289,13615,13919,13699,13762,13548,13498,13083,12654,12069,11781,11248,10920,10591,10274,9758,9908,9810,9370,9407,9470,9792,10360,12170,10009,8051,8294,7417,6660,5342,5538,5418,4988,4419,4114,3540,3079,2663,2327,2040,1616,1291,3228
England,Essex,male,2023-11-01,8993,10368,10827,10890,11529,11685,12227,12423,12577,12379,12435,12867,12977,12580,12441,12513,12254,11916,11043,10803,9901,9947,10527,10882,11431,11809,12124,11885,12305,12443,13083,13556,13341,14144,13852,14298,14021,13889,14077,13422,13472,13562,13799,13953,13385,12491,12165,12468,12252,13028,12723,13313,14153,13302,13764,13663,13867,13885,13686,13374,12745,12608,12276,11597,11284,10869,9957,9759,9116,8880,8809,8570,8336,8366,8722,9185,10620,8508,6753,7099,6148,5498,4108,4136,4025,3693,3248,2740,2298,2027,1640,1270,1046,806,587,1117
England,Essex,persons,2023-11-01,17632,20298,21061,21394,22311,22983,23703,24183,24405,24258,24367,25115,25049,24761,24418,24491,23822,23105,21231,20372,19069,19114,20724,21496,22392,23087,23653,23714,24434,25276,26365,27151,27539,28598,28296,29211,28436,28056,28453,27216,27235,27018,27681,27661,26737,24932,23933,24688,24617,25579,25295,26375,27543,26582,27339,27581,27592,27643,27228,26872,25822,25267,24339,23371,22534,21781,20555,20044,18885,18773,18611,17938,17751,17846,18529,19562,22777,18531,14815,15354,13575,12139,9448,9645,9441,8692,7661,6863,5835,5118,4303,3596,3087,2422,1892,4345
England,"Gloucestershire, Wiltshire and Bath/Bristol area",female,2023-11-01,10603,11908,12614,12569,13453,13681,14100,14853,14765,15257,15528,15726,16149,15820,15577,16111,15567,14947,15409,16076,16791,16276,16895,17588,18130,17543,18315,18250,18509,18938,19353,19749,19939,20338,19911,20318,20118,19434,19429,18882,18280,18366,17930,18358,17396,16343,15815,15933,15926,16734,16811,17690,18209,17682,18090,17770,18368,18699,18571,18522,17927,17172,16683,16124,15548,15065,14210,13826,13284,13248,13497,12759,12567,12796,12935,13525,14942,12214,10661,11031,9964,8862,7396,7352,7221,6543,5833,5309,4838,4108,3584,3213,2686,2104,1693,4403
England,"Gloucestershire, Wiltshire and Bath/Bristol area",male,2023-11-01,11164,12642,13226,13131,14068,14650,14923,15840,15717,15861,16087,17109,16721,16809,16045,16274,15801,15532,15375,15904,16362,16002,16554,17159,17601,18320,18837,18615,18872,19410,19410,20031,20339,20240,20352,20374,19945,19660,19481,18907,19042,18925,18448,18803,18135,16902,16168,16253,16519,16857,17432,17979,18612,17893,18415,18099,18502,18706,18767,18503,17923,17360,16615,15960,15448,14807,13846,13392,12838,12456,12403,11777,11724,11511,11861,11986,13378,10826,9316,9533,8348,7561,5983,5819,5659,4909,4456,3854,3211,2708,2203,1817,1407,1117,817,1623
England,"Gloucestershire, Wiltshire and Bath/Bristol area",persons,2023-11-01,21786,24536,25863,25653,27553,28323,29016,30712,30440,31117,31611,32843,32847,32651,31661,32392,31372,30481,30734,32015,33143,32321,33444,34740,35737,35905,37120,36845,37337,38353,38736,39716,40284,40565,40267,40702,40073,39096,38916,37781,37310,37298,36350,37143,35533,33249,31965,32188,32424,33608,34261,35645,36815,35609,36499,35879,36838,37379,37308,37037,35869,34528,33276,32117,30981,29867,28085,27232,26139,25785,25906,24527,24312,24316,24816,25543,28296,23037,19957,20537,18322,16429,13383,13168,12891,11445,10287,9179,8050,6812,5786,5030,4093,3223,2511,6027
England,Greater Manchester,female,2023-11-01,14187,16494,16713,17078,17884,18274,18800,19963,19714,19923,20553,20727,20687,20468,20346,19866,19189,19079,19258,19907,19815,20068,21229,23266,24481,24298,24317,24291,24514,24074,24783,25413,25015,25562,24891,25233,24614,23911,24093,23320,23069,22584,21908,22111,20705,19377,18137,17879,18154,18327,18228,19224,19976,19465,19457,19448,19138,18960,19076,18721,18059,17843,17162,16235,15762,14916,14546,13920,13040,12734,12680,12305,12007,12102,12182,12209,14154,10995,9558,9745,8976,7984,6851,6654,6259,5891,5229,4624,4029,3279,2809,2422,2052,1615,1224,3094
England,Greater Manchester,male,2023-11-01,15207,17168,17547,17960,18668,19169,19810,20719,20777,20993,21256,21716,21600,21523,21217,21254,20570,20276,20003,20302,20076,19827,20423,21730,22753,23800,24764,24442,24803,25079,25479,26061,26707,26906,26063,26596,26164,25589,26045,24998,24806,24616,24056,24226,23387,21069,20307,20165,20643,20514,20411,21332,22095,21397,21444,21156,20669,20590,20485,20026,19287,18507,17448,16855,15906,15231,14696,13759,12772,12326,12444,11601,11218,11222,11264,11369,12718,9378,8048,8200,7360,6367,5203,4949,4859,4204,3670,3067,2552,2034,1578,1327,1075,785,502,1126
England,Greater Manchester,persons,2023-11-01,29377,33669,34301,35016,36572,37441,38603,40678,40512,40931,41807,42437,42281,41990,41504,41115,39772,39370,39232,40230,39912,39899,41621,45049,47224,48123,48990,48727,49266,49158,50267,51463,51741,52465,50923,51853,50720,49601,50119,48280,47865,47218,45956,46340,44075,40456,38468,38032,38779,38851,38632,40510,42102,40880,40836,40639,39779,39535,39566,38734,37315,36387,34616,33060,31673,30166,29208,27706,25836,25058,25140,23943,23289,23347,23450,23567,26890,20330,17611,17960,16331,14359,12052,11606,11111,10090,8904,7689,6590,5314,4374,3749,3130,2400,1726,4221
England,Hampshire and Isle of Wight,female,2023-11-01,8165,9363,9942,10070,10347,10772,11041,11550,11753,11777,12059,12472,12175,12132,11847,11881,11598,11262,11566,11387,11246,11064,12277,13882,14361,13410,13465,13468,13500,13630,14155,14598,14997,15025,15044,15327,15112,14483,14616,13907,14115,13778,13994,13996,13570,12761,12046,12464,12581,13076,13143,13582,14562,13933,14117,14595,14686,14697,14860,14770,14648,14136,13560,13073,12829,12339,11897,11338,10824,10806,10965,10447,10462,10536,11110,11270,12730,10736,9196,9179,8256,7595,6053,6059,6010,5685,5110,4501,3973,3523,3012,2703,2282,1957,1427,3749
